品类,商品产地,商品名称,规格,箱规,批发价,市场零售价,保质期
酒类,瑞典,"Stockholm
斯德哥尔摩啤酒",330ml,24罐,,9.9,12个月
酒类,瑞典,"ThreeHearts
三星啤酒",500ml,24罐,,15.5,12个月
酒类,瑞典,"ThreeHearts
三星啤酒",330ml,24瓶,,14.9,12个月
酒类,瑞典,"Arboga
爱宝佳啤酒",500ml,24罐,,20,60个月
酒类,瑞典,"Arboga
爱宝佳啤酒",500ml,24罐,,19,12个月
酒类,瑞典,塞勒伏特加SailorVodka烈酒,700ml,12瓶,,128,20年
酒类,瑞典,塞勒金酒SailorGin烈酒,700ml,12瓶,,128,20年
食品,中国台湾,众味元牡丹凤梨酥,280g,280g10入*20,,32,8个月
食品,中国台湾,众味元(台)-鳳梨酥,250g,250g*20,,27,8个月
食品,中国台湾,众味元(台)-釋迦酥,250g,250g*20,,27,8个月
食品,中国台湾,众味元(台)-芋頭酥,250g,250g*20,,27,8个月
食品,中国台湾,众味元(台)-綜合水果酥,250g,250g*20,,27,8个月
食品,中国台湾,众味元(台)-芒果酥,250g,250g*20,,27,8个月
食品,中国台湾,众味元-綜合小麻糬,250g,250g*20,,27,8个月
食品,中国台湾,富丰兴芒果酥,250g,250g*20,,22,8个月
食品,中国台湾,富丰兴释迦酥,250g,250g*20,,22,8个月
食品,中国台湾,富丰兴综合小麻糬,250g,250g*20,,22,8个月
食品,中国台湾,富丰兴凤梨酥,250g,250g*20,,22,8个月
食品,中国台湾,富丰兴综合水果酥,250g,250g*20,,22,8个月
食品,中国台湾,富丰兴芋头酥,250g,250g*20,,22,8个月
食品,中国台湾,富丰兴元气蛋仔牛奶味,130g,130g*24,,18,12个月
食品,中国台湾,富丰兴元气蛋仔原味,130g,130g*24,,18,12个月
食品,中国台湾,富丰兴元气蛋仔水果味,130g,130g*24,,18,12个月
食品,中国台湾,富丰兴元气蛋仔布丁味,130g,130g*25,,18,12个月
食品,中国台湾,金安记无籽葡萄乾,60g,60g*24,,12,12个月
食品,中国台湾,金安记蔓越莓乾,40g,40g*24,,12,12个月
食品,中国台湾,金安记果滋3味果乾,45g,45g*24,,12,12个月
食品,中国台湾,恬蜜梅子棒棒糖,,150g*30,,18,12个月
食品,中国台湾,恬蜜赤砂糖味梅子棒棒糖,,150g*30,,18,12个月
食品,中国台湾,恬蜜咖啡卷心酥（饼干）,,220g*12,,35,12个月
